10 0.1 -0.498755453842497
10 0.2 -0.495096746302708
10 0.3 -0.489228337557276
10 0.4 -0.48145489301095
10 0.5 -0.472134576662476
10 0.6 -0.461636516136403
10 0.7 -0.45031431030238
10 0.8 -0.438470615826142
10 0.9 -0.426368671311243
10 1 -0.414208239230934
10 1.1 -0.402146172411667
10 1.2 -0.390295401853687
10 1.3 -0.378725004811882
10 1.4 -0.367562249467397
10 1.5 -0.356704913725269
10 1.6 -0.346356696399007
10 1.7 -0.336190054396208
10 1.8 -0.326727238823267
10 1.9 -0.317644662091237
10 2 -0.308943156680896
