0.025 8 0.01 0.01 -0.500033934952685
0.05 8 0.01 0.01 -0.500236917501546
0.075 8 0.01 0.01 -0.500790652374128
0.1 8 0.01 0.01 -0.501845129792718
0.125 8 0.01 0.01 -0.50356765995883
0.15 8 0.01 0.01 -0.506127842799144
0.175 8 0.01 0.01 -0.509704218000528
0.2 8 0.01 0.01 -0.514514107111989
0.225 8 0.01 0.01 -0.520805375452845
0.25 8 0.01 0.01 -0.528870403317245
0.275 8 0.01 0.01 -0.539144604187164
0.3 8 0.01 0.01 -0.551903204072004
0.325 8 0.01 0.01 -0.567822505648864
0.35 8 0.01 0.01 -0.587594216937545
0.375 8 0.01 0.01 -0.61211555091118
0.4 8 0.01 0.01 -0.642542438897074
0.425 8 0.01 0.01 -0.680396934064978
0.45 8 0.01 0.01 -0.727430222335361
0.475 8 0.01 0.01 -0.786185111493648
0.5 8 0.01 0.01 -0.859809228148275
0.525 8 0.01 0.01 -0.95241269574409
0.55 8 0.01 0.01 -1.06934146138447
0.575 8 0.01 0.01 -1.21771206680289
0.6 8 0.01 0.01 -1.40699628125048
0.625 8 0.01 0.01 -1.65006629098057
0.65 8 0.01 0.01 -1.9647465396004
0.675 8 0.01 0.01 -2.376236645975
0.7 8 0.01 0.01 -2.92110264471578
0.725 8 0.01 0.01 -3.65394032867277
0.75 8 0.01 0.01 -4.6590995642066
0.775 8 0.01 0.01 -0.161709412554174
0.8 8 0.01 0.01 -0.163593147584019
0.825 8 0.01 0.01 -0.164866734995929
0.85 8 0.01 0.01 -0.166174943397287
0.875 8 0.01 0.01 -0.167242428618749
0.9 8 0.01 0.01 -0.168077847708702
